,sell_type,car_type,year,price,km
699,Nuevo,Model 3,2024,40935.0,1.0
700,Nuevo,Model 3,2024,42975.0,0.0
701,Nuevo,Model 3,2024,42975.0,0.0
702,Nuevo,Model 3,2024,44175.0,0.0
703,Nuevo,Model 3,2024,44675.0,0.0
704,Nuevo,Model 3,2024,51975.0,0.0
705,Nuevo,Model 3,2024,51975.0,62.0
706,Nuevo,Model 3,2024,42975.0,0.0
707,Nuevo,Model 3,2024,44675.0,0.0
708,Nuevo,Model 3,2024,47185.0,615.0
709,Nuevo,Model 3,2024,47355.0,78.0
710,Nuevo,Model 3,2024,48435.0,536.0
711,Nuevo,Model 3,2024,48545.0,9.0
712,Nuevo,Model 3,2024,51975.0,0.0
713,Nuevo,Model 3,2024,52195.0,13.0
714,Nuevo,Model 3,2024,52765.0,4.0
715,Nuevo,Model 3,2024,53675.0,0.0
716,Nuevo,Model 3,2024,57655.0,2.0
717,Nuevo,Model 3,2024,60475.0,0.0
718,Nuevo,Model X,2024,95295.0,2.0
719,Nuevo,Model X,2024,103375.0,1.0
720,Nuevo,Model X,2024,105475.0,0.0
721,Nuevo,Model X,2024,109135.0,6.0
722,Nuevo,Model X,2024,109775.0,0.0
723,Nuevo,Model X,2024,111425.0,0.0
724,Nuevo,Model X,2024,111425.0,0.0
725,Nuevo,Model X,2024,116825.0,0.0
726,Nuevo,Model X,2024,119325.0,0.0
727,Nuevo,Model X,2024,119325.0,92.0
728,Nuevo,Model X,2024,111765.0,1.0
729,Nuevo,Model X,2024,117325.0,0.0
730,Nuevo,Model X,2024,120925.0,0.0
731,Nuevo,Model X,2024,107455.0,1.0
732,Nuevo,Model X,2024,108825.0,2.0
733,Nuevo,Model X,2024,112285.0,94.0
734,Nuevo,Model X,2024,117475.0,1.0
735,Nuevo,Model X,2024,108685.0,2.0
736,Nuevo,Model X,2024,115025.0,1.0
737,Nuevo,Model X,2024,119325.0,0.0
738,Nuevo,Model Y,2024,39675.0,0.0
739,Nuevo,Model Y,2024,40215.0,1.0
740,Nuevo,Model Y,2024,40875.0,0.0
741,Nuevo,Model Y,2024,41025.0,0.0
742,Nuevo,Model Y,2024,41875.0,0.0
743,Nuevo,Model Y,2024,42225.0,0.0
744,Nuevo,Model Y,2024,43075.0,0.0
745,Nuevo,Model Y,2024,43075.0,0.0
746,Nuevo,Model Y,2024,43225.0,0.0
747,Nuevo,Model Y,2024,43225.0,0.0
748,Nuevo,Model Y,2024,45975.0,0.0
749,Nuevo,Model Y,2024,47325.0,0.0
750,Nuevo,Model Y,2024,47635.0,1.0
751,Nuevo,Model Y,2024,48175.0,0.0
752,Nuevo,Model Y,2024,48255.0,5.0
753,Nuevo,Model Y,2024,48255.0,0.0
754,Nuevo,Model Y,2024,48975.0,0.0
755,Nuevo,Model Y,2024,48975.0,0.0
756,Nuevo,Model Y,2024,49195.0,12.0
757,Nuevo,Model Y,2024,50175.0,0.0
758,Nuevo,Model Y,2024,50175.0,0.0
759,Nuevo,Model Y,2024,50325.0,0.0
760,Nuevo,Model Y,2024,50325.0,0.0
761,Nuevo,Model Y,2024,50865.0,2.0
762,Nuevo,Model Y,2024,51005.0,2.0
763,Nuevo,Model Y,2024,51175.0,0.0
764,Nuevo,Model Y,2024,52525.0,0.0
765,Nuevo,Model Y,2024,52825.0,321.0
766,Nuevo,Model Y,2024,52915.0,56.0
767,Nuevo,Model Y,2024,54255.0,4.0
768,Nuevo,Model Y,2024,54975.0,0.0
769,Nuevo,Model Y,2024,54975.0,0.0
770,Nuevo,Model Y,2024,55175.0,0.0
771,Nuevo,Model Y,2024,55585.0,4.0
772,Nuevo,Model Y,2024,55755.0,12.0
773,Nuevo,Model Y,2024,56175.0,0.0
774,Nuevo,Model Y,2024,56175.0,0.0
775,Nuevo,Model Y,2024,56325.0,0.0
776,Nuevo,Model Y,2024,56325.0,0.0
777,Nuevo,Model Y,2024,57525.0,0.0
778,Nuevo,Model Y,2024,41875.0,0.0
779,Nuevo,Model Y,2024,41875.0,0.0
780,Nuevo,Model Y,2024,48975.0,0.0
781,Nuevo,Model Y,2024,50175.0,0.0
782,Nuevo,Model Y,2024,50175.0,0.0
783,Nuevo,Model Y,2024,50325.0,0.0
784,Nuevo,Model Y,2024,51175.0,0.0
785,Nuevo,Model Y,2024,51525.0,0.0
786,Nuevo,Model Y,2024,52765.0,0.0
787,Nuevo,Model Y,2024,52775.0,9.0
788,Nuevo,Model Y,2024,52915.0,62.0
789,Nuevo,Model Y,2024,53975.0,0.0
790,Nuevo,Model Y,2024,54975.0,0.0
